Panama,Panama City,Met with President Martin Torrijos.,"November 6–7, 2005",W. BUSH
Japan,Kyoto,Met with Prime Minister Koizumi.,"November 15–16, 2005",W. BUSH
"Korea, Republic of","Pusan, Gyeongju, Osan",Attended APEC Summit meeting and met with Russian President Putin.,"November 16–20, 2005",W. BUSH
China,Beijing,Met with President Hu and Prime Minister Wen.,"November 20–21, 2005",W. BUSH
Mongolia,Ulaanbaatar,Met with President Enkhbayar and Prime Minister Elbegdorj.,"November 21, 2005",W. BUSH
Ireland,Shannon,Met with U.S. Marines who were en route to Iraq.,"February 28, 2006",W. BUSH
Afghanistan,"Bagram, Kabul","Met with President Karzai, dedicated new U.S. Embassy, and addressed U.S. 
military personnel.","March 1, 2006",W. BUSH
India,"New Delhi, Hyderabad",Met with Prime Minister Singh. Signed nuclear cooperation agreement.,"March 1–3, 2006",W. BUSH
Pakistan,Islamabad,Met with President Musharraf.,"March 3–4, 2006",W. BUSH
Mexico,"Cancun, Chichen-Itza",Met with President Fox and Canadian Prime Minister Harper.,"March 30–31, 2006",W. BUSH
Iraq,Baghdad,Met with Prime Minister Maliki and addressed U.S. military personnel.,"June 13, 2006",W. BUSH
Austria,Vienna,Attended the U.S.-EU Summit.,"June 20–21, 2006",W. BUSH
Hungary,Budapest,"Met with President Solyom, Prime Minister Gyurcsany and commemorated the 
50th anniversary of the Hungarian Uprising.","June 21–22, 2006",W. BUSH
Germany,"Stralsund, Trinwillershagen",Met with Chancellor Merkel.,"July 12–14, 2006",W. BUSH
Russia,St. Petersburg,"Attended the G-8 Economic Summit. Met with President Hu of China, July 16; 
and President Lula of Brazil and Prime Minister Singh of India, July 17.","July 14–17, 2006",W. BUSH
Russia,Moscow,Met with President Putin.,"November 15, 2006",W. BUSH
Singapore,Singapore,"Met with Acting President Pillay and Prime Minister Lee. Addressed National 
Singapore University.","November 16–17, 2006",W. BUSH
Vietnam,"Hanoi, Ho Chi Minh City",Attended APEC Leaders’ Meeting.,"November 17–20, 2006",W. BUSH
Indonesia,"Jakarta, Bogor",Met with President Yudhoyono.,"November 20, 2006",W. BUSH
Estonia,Tallinn,Met with President Ilves.,"November 27–28, 2006",W. BUSH
Latvia,Riga,Attended NATO Summit Meeting.,"November 28–29, 2006",W. BUSH
Jordan,Amman,Met with King Abdullah II and Iraqi Prime Minister al-Maliki.,"November 29–30, 2006",W. BUSH
Brazil,Sao Paulo,Met with President Lula da Silva.,"March 8–9, 2007",W. BUSH
Uruguay,Montevideo,Met with President Tabare Vazquez.,"March 9–11, 2007",W. BUSH
Colombia,Bogota,Met with President Uribe.,"March 11, 2007",W. BUSH
Guatemala,"Guatemala City, Santa Cruz Balanya, Iximche",Met with President Berger.,"March 11–12, 2007",W. BUSH
Mexico,"Merida, Uxmal",Met with President Calderon. Visited Mayan ruins.,"March 12–14, 2007",W. BUSH
